,Unnamed: 0.1,Unnamed: 0,latitude,longitude,scientific_name,eventDate,kingdom,phylum,class_taxon,order,family,subfamily,genus,species,canonicalName,verbatim_source,verbatim_id,occurrence_id
19,19,19,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190878
20,20,20,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190881
21,21,21,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190883
22,22,22,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190885
23,23,23,18.845213,-90.661411,Agaricaceae,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,Agaricaceae,Agaricaceae,inat,47394.0,1190888
24,24,24,18.845213,-90.661411,Agaricaceae,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,Agaricaceae,Agaricaceae,inat,47394.0,1190901
25,25,25,18.845213,-90.661411,Leucocoprinus cepistipes,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucocoprinus,Leucocoprinus cepistipes,Leucocoprinus cepistipes,inat,328202.0,1190904
26,26,26,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190909
27,27,27,18.845213,-90.661411,Leucoagaricus,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1190911
28,28,28,18.845213,-90.661411,Agaricaceae,2015-01-07 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,Agaricaceae,Agaricaceae,inat,47394.0,1190913
29,29,29,18.83709,-90.653601,Lentinus,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Lentinus,Lentinus,Lentinus,inat,68311.0,1190926
30,30,30,18.83709,-90.653601,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1190927
31,31,31,18.842938,-90.647678,,,,,,,,,,,,inat,,1190931
32,32,32,18.843913,-90.646477,Catasetum integerrimum,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vandoideae,Catasetum,Catasetum integerrimum,Catasetum integerrimum,inat,276531.0,1190946
33,33,33,18.842614,-90.648537,Orchidaceae,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,,,Orchidaceae,Orchidaceae,inat,47217.0,1190951
34,34,34,18.837415,-90.660896,Panus velutinus,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Panaceae,,Panus,Panus velutinus,Panus velutinus,inat,966155.0,1192104
35,35,35,18.839039,-90.656261,Tracheophyta,,Plantae,Tracheophyta,,,,,,Tracheophyta,Tracheophyta,inat,211194.0,1192106
36,36,36,18.843263,-90.653858,Hexagonia hydnoides,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Hexagonia,Hexagonia hydnoides,Hexagonia hydnoides,inat,202438.0,1194611
37,37,37,18.838714,-90.646992,Lentinus,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Lentinus,Lentinus,Lentinus,inat,68311.0,1194620
38,38,38,18.83514,-90.606823,Polypodiopsida,2015-02-04 ,Plantae,Tracheophyta,Polypodiopsida,,,,,Polypodiopsida,Polypodiopsida,inat,121943.0,1217331
39,39,39,18.806543,-90.566483,Encyclia,2015-02-03 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Encyclia,Encyclia,Encyclia,inat,84579.0,1217340
40,40,40,18.806543,-90.566483,Encyclia,2015-02-03 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Encyclia,Encyclia,Encyclia,inat,84579.0,1217344
41,41,41,18.812393,-90.569916,Angiospermae,2015-02-05 ,Plantae,Tracheophyta,,,,,,Angiospermae,Angiospermae,inat,47125.0,1217348
42,42,42,18.814668,-90.578499,Nidema boothii,2015-02-05 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Nidema,Nidema boothii,Nidema boothii,inat,275880.0,1218928
43,43,43,18.814668,-90.578499,,2015-02-05 ,,,,,,,,,,inat,,1218929
44,44,44,18.814668,-90.578499,Nidema boothii,2015-02-05 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Nidema,Nidema boothii,Nidema boothii,inat,275880.0,1218931
45,45,45,18.814668,-90.578499,Nidema boothii,2015-02-05 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Nidema,Nidema boothii,Nidema boothii,inat,275880.0,1218934
46,46,46,18.849762,-90.641627,Cucurbitaceae,2015-02-04 ,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,,,Cucurbitaceae,Cucurbitaceae,inat,48620.0,1218959
47,47,47,18.849762,-90.641627,Cucurbita,2015-02-04 ,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,,Cucurbita,Cucurbita,Cucurbita,inat,55425.0,1218960
48,48,48,18.849762,-90.641627,Cucurbita argyrosperma,2015-02-04 ,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,,Cucurbita,Cucurbita argyrosperma,Cucurbita argyrosperma,inat,273777.0,1218961
49,49,49,18.845863,-90.64549,Angiospermae,,Plantae,Tracheophyta,,,,,,Angiospermae,Angiospermae,inat,47125.0,1218963
50,50,50,18.841314,-90.646648,Bromelia karatas,2015-02-06 ,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromelioideae,Bromelia,Bromelia karatas,Bromelia karatas,inat,277363.0,1218997
51,51,51,18.841314,-90.646648,Bromelia karatas,2015-02-06 ,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromelioideae,Bromelia,Bromelia karatas,Bromelia karatas,inat,277363.0,1218998
52,52,52,18.841314,-90.646648,Bromelia karatas,2015-02-06 ,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromelioideae,Bromelia,Bromelia karatas,Bromelia karatas,inat,277363.0,1218999
53,53,53,18.841314,-90.646648,Bromelia karatas,2015-02-06 ,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromelioideae,Bromelia,Bromelia karatas,Bromelia karatas,inat,277363.0,1219000
54,54,54,18.849112,-90.652313,Anas platyrhynchos domesticus,,Animalia,Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos domesticus,Anas platyrhynchos domesticus,inat,236935.0,1275905
55,55,55,18.785214,-90.512474,Alouatta pigra,2015-04-25 ,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouattinae,Alouatta,Alouatta pigra,Alouatta pigra,inat,43439.0,1430436
56,56,56,18.8435923449,-90.6685111095,Eupsittula nana,2015-04-26 ,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,Eupsittula,Eupsittula nana,Eupsittula nana,inat,367556.0,1430487
57,57,57,18.855569,-90.6321,Zenaida asiatica,2015-04-26 ,Animalia,Chordata,Aves,Columbiformes,Columbidae,,Zenaida,Zenaida asiatica,Zenaida asiatica,inat,3460.0,1430523
58,58,58,18.848381,-90.641799,Danaus plexippus,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danainae,Danaus,Danaus plexippus,Danaus plexippus,inat,48662.0,1464382
59,59,59,18.847893,-90.6427,Danaus plexippus,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danainae,Danaus,Danaus plexippus,Danaus plexippus,inat,48662.0,1464409
60,60,60,18.850412,-90.644159,Arsenura armida,,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Arsenurinae,Arsenura,Arsenura armida,Arsenura armida,inat,257159.0,1464423
61,61,61,18.846431,-90.646091,Danaus plexippus,2015-01-06 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danainae,Danaus,Danaus plexippus,Danaus plexippus,inat,48662.0,1464436
62,62,62,18.850513,-90.637143,Magnoliopsida,2012-01-06 16:25:22 ,Plantae,Tracheophyta,Magnoliopsida,,,,,Magnoliopsida,Magnoliopsida,inat,47124.0,1476194
63,63,63,18.84635,-90.638055,Cucurbita,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,,Cucurbita,Cucurbita,Cucurbita,inat,55425.0,1510213
64,64,64,18.841151,-90.644588,Carica papaya,,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,,Carica,Carica papaya,Carica papaya,inat,62811.0,1538095
65,65,65,18.839445,-90.650296,Spondias radlkoferi,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Spondiadoideae,Spondias,Spondias radlkoferi,Spondias radlkoferi,inat,206322.0,1538114
66,66,66,18.845457,-90.643687,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538121
67,67,67,18.846107,-90.660853,Spondias radlkoferi,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Spondiadoideae,Spondias,Spondias radlkoferi,Spondias radlkoferi,inat,206322.0,1538127
68,68,68,18.858859,-90.653343,Orchidaceae,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,,,Orchidaceae,Orchidaceae,inat,47217.0,1538155
69,69,69,18.841314,-90.653343,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538261
70,70,70,18.846513,-90.659523,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538265
71,71,71,18.846513,-90.660553,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538285
72,72,72,18.852361,-90.65918,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538289
73,73,73,18.831566,-90.65815,Trametes versicolor,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Trametes,Trametes versicolor,Trametes versicolor,inat,54134.0,1538297
74,74,74,18.847812,-90.645962,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1538300
75,75,75,18.851386,-90.644073,Basidiomycota,,Fungi,Basidiomycota,,,,,,Basidiomycota,Basidiomycota,inat,47169.0,1538315
76,76,76,18.848137,-90.648537,Angiospermae,,Plantae,Tracheophyta,,,,,,Angiospermae,Angiospermae,inat,47125.0,1538321
77,77,77,18.846188,-90.639868,Lepidoptera,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,Lepidoptera,Lepidoptera,inat,47157.0,1538335
78,78,78,18.839689,-90.656948,Lepidoptera,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,Lepidoptera,Lepidoptera,inat,47157.0,1538388
79,79,79,18.84765,-90.647421,Ceiba speciosa,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Bombacoideae,Ceiba,Ceiba speciosa,Ceiba speciosa,inat,154290.0,1705839
80,80,80,18.847812,-90.656176,Hamelia patens,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cinchonoideae,Hamelia,Hamelia patens,Hamelia patens,inat,126305.0,1705849
81,81,81,18.848949,-90.641756,Hymenoptera,,Animalia,Arthropoda,Insecta,Hymenoptera,,,,Hymenoptera,Hymenoptera,inat,47201.0,1705860
82,82,82,18.843426,-90.65742,Lepidoptera,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,Lepidoptera,Lepidoptera,inat,47157.0,1705882
83,83,83,18.850412,-90.647163,Plantae,,Plantae,,,,,,,Plantae,Plantae,inat,47126.0,1705886
84,84,84,18.850087,-90.647678,Angiospermae,,Plantae,Tracheophyta,,,,,,Angiospermae,Angiospermae,inat,47125.0,1705889
85,85,85,18.845213,-90.657721,Pontederia crassipes,,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,,Pontederia,Pontederia crassipes,Pontederia crassipes,inat,962637.0,1705902
86,86,86,18.845863,-90.645275,Syntomeida epilais,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctiinae,Syntomeida,Syntomeida epilais,Syntomeida epilais,inat,120875.0,1889369
87,87,87,18.845863,-90.644417,Heliconius charithonia,2002-01-13 18:06:00 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconiinae,Heliconius,Heliconius charithonia,Heliconius charithonia,inat,49766.0,1889374
88,88,88,18.848462,-90.644245,Euptoieta hegesia meridiania,2012-02-25 16:39:06 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconiinae,Euptoieta,Euptoieta hegesia meridiania,Euptoieta hegesia meridiania,inat,312764.0,1889387
89,89,89,18.851711,-90.646477,Hesperiidae,2012-02-27 17:11:05 ,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,,,Hesperiidae,Hesperiidae,inat,47653.0,1889426
90,90,90,18.853271,-90.646271,Ministrymon clytie,2002-01-13 18:06:00 ,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Theclinae,Ministrymon,Ministrymon clytie,Ministrymon clytie,inat,148801.0,1889431
91,91,91,18.858469,-90.646271,Proteides mercurius,2012-02-27 17:22:19 ,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Eudaminae,Proteides,Proteides mercurius,Proteides mercurius,inat,148786.0,1889435
92,92,92,18.85457,-90.649017,Euchroma giganteum,2012-03-03 17:35:39 ,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Chrysochroinae,Euchroma,Euchroma giganteum,Euchroma giganteum,inat,311087.0,1889439
93,93,93,18.861491,-90.615166,Artibeus jamaicensis,2012-03-04 02:07:17 ,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,inat,41005.0,1889443
94,94,94,18.855675,-90.627113,Agaricus,2012-03-07 23:18:15 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,Agaricus,Agaricus,inat,49548.0,1889447
95,95,95,18.849372,-90.643524,Anartia jatrophae,2012-03-15 16:46:40 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalinae,Anartia,Anartia jatrophae,Anartia jatrophae,inat,49761.0,1889450
96,96,96,18.851191,-90.636932,Triatominae,2012-03-11 21:34:29 ,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Triatominae,,Triatominae,Triatominae,inat,472290.0,1889463
97,97,97,18.85574,-90.636246,Ganoderma,2012-03-07 23:44:32 ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Ganoderma,Ganoderma,Ganoderma,inat,1106981.0,1889470
98,98,98,18.85587,-90.633911,Palpita flegia,2012-03-15 17:03:08 ,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Spilomelinae,Palpita,Palpita flegia,Palpita flegia,inat,311319.0,1889474
99,99,99,18.85574,-90.636246,Ganoderma,2012-03-07 23:44:32 ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Ganoderma,Ganoderma,Ganoderma,inat,1106981.0,1889477
100,100,100,18.848852,-90.650116,Zamia,2012-03-24 16:49:48 ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,,Zamia,Zamia,Zamia,inat,67326.0,1889512
101,101,101,18.852393,-90.639473,Tetrapyrgos nigripes,2012-03-29 16:07:23 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,,Tetrapyrgos,Tetrapyrgos nigripes,Tetrapyrgos nigripes,inat,179063.0,1889519
102,102,102,18.858469,-90.639404,Bolbitius,2012-03-29 17:13:25 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,,Bolbitius,Bolbitius,Bolbitius,inat,55473.0,1889528
103,103,103,18.847032,-90.638512,Ollanta mexicana,2012-03-07 23:02:53 ,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicadinae,Ollanta,Ollanta mexicana,Ollanta mexicana,inat,740584.0,1889537
104,104,104,18.845343,-90.665772,Dysschema,2012-03-08 15:20:16 ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctiinae,Dysschema,Dysschema,Dysschema,inat,53664.0,1889543
105,105,105,18.857299,-90.619904,Pteronotus mesoamericanus,2012-03-04 02:15:30 ,Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,,Pteronotus,Pteronotus mesoamericanus,Pteronotus mesoamericanus,inat,765484.0,1889559
106,106,106,18.85704,-90.61496,Plantae,2012-03-04 01:36:25 ,Plantae,,,,,,,Plantae,Plantae,inat,47126.0,1889566
107,107,107,18.850541,-90.630753,Acanthocereus tetragonus,2012-03-04 01:33:57 ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cactoideae,Acanthocereus,Acanthocereus tetragonus,Acanthocereus tetragonus,inat,157908.0,1889568
108,108,108,18.843393,-90.648605,Hamadryas februa,2012-03-03 17:24:36 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,Hamadryas,Hamadryas februa,Hamadryas februa,inat,148742.0,1889583
109,109,109,18.857169,-90.651764,Ectatomma tuberculatum,2012-02-27 16:38:22 ,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Ectatomminae,Ectatomma,Ectatomma tuberculatum,Ectatomma tuberculatum,inat,300347.0,1889654
110,110,110,18.858469,-90.625671,Eumaeini,2012-02-27 17:22:45 ,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Theclinae,,Eumaeini,Eumaeini,inat,125836.0,1889662
111,111,111,18.851776,-90.63707,Alocasia,2012-02-24 16:49:21 ,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aroideae,Alocasia,Alocasia,Alocasia,inat,69234.0,1889669
112,112,112,18.85587,-90.644897,Plumeria,2012-02-24 16:51:25 ,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfioideae,Plumeria,Plumeria,Plumeria,inat,48319.0,1889673
113,113,113,18.852751,-90.637756,Bauhinia divaricata,2012-02-24 17:08:47 ,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cercidoideae,Bauhinia,Bauhinia divaricata,Bauhinia divaricata,inat,290009.0,1889674
114,114,114,18.851971,-90.628418,Encyclia,2012-02-24 18:53:16 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Encyclia,Encyclia,Encyclia,inat,84579.0,1889675
115,115,115,18.85574,-90.64174,Callisia fragrans,2012-03-03 19:55:20 ,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelinoideae,Callisia,Callisia fragrans,Callisia fragrans,inat,159678.0,1889677
116,116,116,18.847682,-90.6404,Asteraceae,2012-03-05 23:13:00 ,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,Asteraceae,Asteraceae,inat,47604.0,1889679
117,117,117,18.858079,-90.637482,Marantaceae,2012-03-05 23:17:50 ,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,,,Marantaceae,Marantaceae,inat,68038.0,1889681
118,118,118,18.8414949714,-90.5873217737,,,,,,,,,,,,inat,,1893311
119,119,119,18.851953,-90.644832,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1939709
120,120,120,18.845856,-90.648035,Leucoagaricus,2015-09-05 22:52:31 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Leucoagaricus,Leucoagaricus,Leucoagaricus,inat,119985.0,1939756
121,121,121,18.843312,-90.640256,Basidiomycota,2015-09-05 22:57:29 ,Fungi,Basidiomycota,,,,,,Basidiomycota,Basidiomycota,inat,47169.0,1939848
122,122,122,18.848964,-90.63827,Agaricomycetes,2015-09-06 17:21:07 ,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes,Agaricomycetes,inat,50814.0,1939858
123,123,123,18.855252,-90.62309,Mycosarcoma maydis,,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,,Mycosarcoma,Mycosarcoma maydis,Mycosarcoma maydis,inat,1409663.0,2344082
124,124,124,18.850504,-90.639076,Lumbricus terrestris,,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,,Lumbricus,Lumbricus terrestris,Lumbricus terrestris,inat,81545.0,2358123
125,125,125,18.856706,-90.695357,Rhamdia,2016-01-01 18:41:14 ,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdiinae,Rhamdia,Rhamdia,Rhamdia,inat,91698.0,2557389
126,126,126,18.8435882795,-90.6462192535,Auricularia,2016-06-26 13:08:00 ,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,,Auricularia,Auricularia,Auricularia,inat,50817.0,3964267
127,127,127,18.8434664337,-90.6452322006,Agaricales,2016-07-01 15:03:00 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Agaricales,Agaricales,inat,47167.0,3964268
128,128,128,18.8437101252,-90.6442022324,Pleurotus,2016-07-02 00:46:00 ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,,Pleurotus,Pleurotus,Pleurotus,inat,48496.0,3964269
129,129,129,18.8433445878,-90.6437301636,Clathrus crispus,2016-07-05 14:55:00 ,Fungi,Basidiomycota,Agaricomycetes,Phallales,Clathraceae,,Clathrus,Clathrus crispus,Clathrus crispus,inat,120175.0,3964270
130,130,130,18.8422073554,-90.6438589096,Phallus indusiatus,2016-07-15 14:52:00 ,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,,Phallus,Phallus indusiatus,Phallus indusiatus,inat,54591.0,3964271
131,131,131,18.8423292021,-90.642786026,Auricularia,2016-07-16 13:07:00 ,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,,Auricularia,Auricularia,Auricularia,inat,50817.0,3964272
132,132,132,18.8429384343,-90.6451463699,Fungi,2016-07-16 14:34:00 ,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,3964273
133,133,133,18.8421667399,-90.6460046768,Agaricomycetes,2016-07-16 14:35:00 ,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes,Agaricomycetes,inat,50814.0,3964274
134,134,134,18.849762,-90.647163,Encyclia alata,2016-08-14 02:18:00 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendroideae,Encyclia,Encyclia alata,Encyclia alata,inat,273803.0,3964399
135,135,135,18.849762,-90.647335,Trichocentrum lindenii,2016-08-05 00:44:00 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vandoideae,Trichocentrum,Trichocentrum lindenii,Trichocentrum lindenii,inat,284259.0,3964400
136,136,136,18.8451316517,-90.6433868408,Trichocentrum oerstedii,2016-07-24 01:26:00 ,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vandoideae,Trichocentrum,Trichocentrum oerstedii,Trichocentrum oerstedii,inat,284262.0,3964401
137,137,137,18.8474743084,-90.6402111053,Saturniidae,2016-07-18 20:12:00 ,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,,,Saturniidae,Saturniidae,inat,47918.0,3974698
138,138,138,18.8469763709,-90.6439876556,Eumorpha vitis,2016-06-26 13:38:00 ,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossinae,Eumorpha,Eumorpha vitis,Eumorpha vitis,inat,143830.0,3974737
139,139,139,18.8473930996,-90.6454467773,Eumorpha labruscae,2016-07-04 12:17:00 ,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossinae,Eumorpha,Eumorpha labruscae,Eumorpha labruscae,inat,143828.0,3974783
